Name,Symbol,Price Usd,Volume24h,Volume30d,MarketCap,Dominance,YtdPriceChangePercentage,cmcRank,marketPairCount,circulatingSupply,totalSupply
ZClassic,ZCL,0.049487907,37.92351811,1110.534457,459595.4003,0,32.8885,1704,7,9287024.33,9287024.33
2key.network,2KEY,0.005841303,0,0,457781.1581,0,-2.6149,1705,6,78369696.86,599020418.8
StakeCubeCoin,SCC,0.03799635,2155.641485,62764.44661,457598.8461,0,-62.8607,1706,18,12043231.7,12043231.7
Drops Ownership Power,DOP,0.38566934,69688.62476,2153605.743,453560.3455,0,81.4172,1707,10,1176034.231,15000000
LiquidApps,DAPP,0.00063819,148.6392496,4762.2888,453052.3255,0,14.785,1708,6,709902293.8,1056939327
FNDZ,FNDZ,0.009008961,168123.4446,4760497.754,448240.3827,0,33.1844,1709,7,49754947.14,100000000
DecentraWeb,DWEB,0.133076546,4981.217527,160346.1388,446767.2464,0,16.4805,1710,6,3357220.043,100000000
UniMex Network,UMX,0.046308573,554.0182419,16552.13444,445335.6296,0,39.5781,1711,4,9616699.504,10000000
Hiveterminal Token,HVN,0.000883989,1655.43282,49062.80586,441994.3758,0,9.1025,1712,6,500000000,500000000
Hedget,HGET,0.250160192,83732.05142,3098159.349,438142.5686,0,23.2366,1713,20,1751448,1751448
Upfiring,UFR,0.018219429,0,0,437266.2866,0,33.6464,1714,4,24000000.01,24000000.01
Snetwork,SNET,0.001814405,12873.35531,386777.6283,432924.2371,0,43.136,1716,6,238603999,1000000000
Skrumble Network,SKM,0.000423524,18325.50267,585424.1058,432706.47,0,35.4773,1717,17,1021680996,1500000000
Ancient Raid,RAID,0.007144799,7125.788692,197860.2314,435580.6035,0,-22.532,1715,5,60964707.94,272616747
AirNFTs,AIRT,0.003861587,811.6475975,22555.02877,432652.1661,0,60.6655,1718,8,112040000,886000000
Sint-Truidense Voetbalvereniging Fan Token,STV,1.693319387,220548.9611,6767704.515,427163.5218,0,39.3913,1719,1,252264,1000000
EasyFi,EZ,0.066848399,20116.7415,587980.5376,426065.9592,0,41.1951,1720,26,6373615,10000000
Ruff,RUFF,0.000433324,106195.8549,22280368.25,424874.4251,0,40.4652,1721,11,980500000,1880000000
The HUSL,HUSL,0.04082877,125225.5758,4012461.633,423797.6973,0,175.1102,1723,4,10379879.07,70000000
Ceres,CERES,76.9111066,15073.06387,421692.7867,423932.8344,0,153.9652,1722,3,5511.98459,24175.50389
Venus BCH,vBCH,2.743899864,0,0,423636.1878,0,39.0492,1724,1,154392,154392
Electrify.Asia,ELEC,0.000798248,15588.61475,636114.0876,422745.6824,0,7.2134,1725,6,529591778.6,749999945.3
ODIN PROTOCOL,ODIN,0.024154811,1553.055486,46499.63703,421958.5725,0,298.8107,1726,4,17468924.66,100000000
GoWithMi,GMAT,0.000154794,16645.12214,582647.0046,421588.928,0,73.2706,1727,3,2723550000,14900000000
dAppstore,DAPPX,0.00259958,130514.9868,3429964.05,421234.9788,0,29.9541,1728,1,162039632,1500000000
Denarius,D,0.050965158,2235.346284,38133.49482,421225.7259,0,12.4465,1729,3,8264974.331,8465467.905
HYCON,HYC,0.000157235,96490.61077,2821998.246,420852.6017,0,98.5903,1730,2,2676582136,5000000000
Huobi Pool Token,HPT,7.89E-05,83.94959555,2692.006491,420574.7798,0,-59.5281,1731,14,5328601919,8537173495
Plant Vs Undead,PVU,0.01197287,30375.38182,797271.1307,416967.409,0,34.6496,1732,23,34826018.95,299999999
ROCKI,ROCKI,0.051648994,101959.1702,2875467.234,416148.2029,0,403.5213,1734,6,8057237.26,100000000
Alanyaspor Fan Token,ALA,0.515474315,79930.73255,2515915.127,414600.1153,0,39.4025,1735,2,804308,3000000
ContentBox,BOX,0.000242169,225573.6603,6370221.714,416518.1541,0,34.3855,1733,3,1719946327,3000000000
Massnet,MASS,0.004202886,75414.77003,2045383.769,411992.7606,0,121.2316,1736,16,98026147.05,98026147.05
Step®,STEP,0.00043057,84409.35064,2428658.765,408829.0914,0,22.5949,1737,8,949505923,981505922.7
BitcoinHD,BHD,0.06714498,112748.7926,3336439.365,408444.0092,0,123.2159,1738,14,6083016.35,6339465
DMM: Governance,DMG,0.008128813,42361.33672,1298947.593,407834.915,0,38.5705,1739,14,50171518.3,249511025
DraftCoin,DFT,0.046731054,3709.485984,121261.3215,407303.7776,0,6365.1456,1740,3,8715912.492,18715912.49
DOSE,DOSE,0.007827168,1193443.87,30880199.54,406254.7748,0,25.7434,1741,39,51903165.01,5000000000
WagyuSwap,WAG,0.007474742,20137.76754,630553.9612,404872.0995,0,20.0871,1742,44,54165358.36,500000000
Evedo,EVED,0.027575351,99981.20474,2741672.62,404723.9142,0,143.9205,1743,3,14677017.47,17756589.69
Jarvis Network,JRT,0.01394211,42850.59995,1283962.864,404403.1856,0,16.5367,1744,22,29005880.19,225861521.3
Karbo,KRB,0.04201304,120.0091889,3835.813018,403271.7886,0,5.5929,1745,4,9598729.124,9608103.813
Helmet.insure,HELMET,0.009328093,47451.05044,1299542.288,400512.1315,0,21.7347,1746,20,42936123.38,50000000
Merculet,MVP,9.09E-05,15503.42223,472849.6576,398831.9909,0,24.6704,1747,5,4388065443,10000000000
Base Protocol,BASE,0.828411718,30315.5173,859383.669,398200.6295,0,14.5529,1748,5,480679.6195,480679.6195
MIBR Fan Token,MIBR,0.397088588,1068.374834,30428.62071,397289.9122,0,-4.3557,1749,1,1000507,10000000
Impossible Finance,IF,0.065763946,671.6149075,19995.83604,394627.145,0,16.9129,1750,5,6000661,15551000
Ravencoin Classic,RVC,3.23E-05,11297.4833,336500.1417,394185.939,0,23.6812,1751,5,12218198675,21000000000
NextDAO,NAX,0.000157561,51321.46594,1532380.163,392323.7325,0,0.9039,1752,3,2489974135,2530206244
Darwinia Commitment Token,KTON,8.934695099,24925.66211,780940.9905,391958.0624,0,52.491,1753,12,43869.21524,102186.8591
iEthereum,IETH,0.021586644,14.48995069,463.9919068,388559.5937,0,-47.8227,1754,6,18000000,18000000
Zenfuse,ZEFU,0.005981476,434.6407153,12368.6865,388193.6205,0,15.2838,1755,13,64899300.84,200000000
eBoost,EBST,0.003880731,0,0,388034.3224,0,31.8052,1756,1,99990001.57,99990001.57
Avatly,AVA,0.002012833,147352.304,5309373.011,385745.2546,0,12.0157,1758,2,191642924,996202444
Parachute,PAR,0.000439062,67105.80427,2172128.676,385761.4715,0,142.1914,1757,8,878603674.8,999628334
Sakura Bloom,SKB,0.000148435,0,0,383401.7983,0,46.7618,1759,3,2582965294,6000000000
Rainbow Token,RAINBOW,4.45E-10,629.356943,17605.7898,382547.1629,0,20.3169,1760,9,8.60398E+14,1E+15
Galaxy Fight Club,GCOIN,0.026499254,17678.2741,538750.4328,381177.5346,0,17.6256,1761,12,14384463,150000000
Swarm,SWM,0.004848565,0,0,379107.7191,0,126.098,1762,10,78189670.12,99535052.47
Grizzly Honey,GHNY,19.44004465,208922.0842,6459311.376,377447.9069,0,-7.8191,1763,5,19416,860774.61
Supreme Finance,HYPE,0.000752168,107305.2274,3580080.425,376083.9022,0,-38.8293,1764,9,500000000,5000000000
Blockzero Labs,XIO,0.010200839,13721.4484,395242.4757,373273.2972,0,73.7608,1765,15,36592410.47,100000000
Falconswap,FSW,0.009951691,84.67984035,2342.068847,372489.7599,0,22.3323,1766,5,37429793.91,100000000
AppCoins,APPC,0.001541783,168.4108217,4774.622178,369728.0991,0,-32.3611,1767,7,239805530.1,239805531.3
Terracoin,TRC,0.016102036,77.2339089,2523.031352,369306.5687,0,11.7148,1768,2,22935396.43,22935396.43
OtterClam Finance,CLAM,2.928045636,2160.523989,59330.93178,369173.8499,0,39.2254,1769,17,126082,641903
XP NETWORK,XPNET,0.002797408,188187.3483,4846361.386,368896.4587,0,47.2032,1770,9,131870792,1000000000
BiblePay,BBP,0.000142801,213.0714182,6923.235533,364568.9454,0,45.5845,1771,3,2552987248,2552987248
Samsunspor Fan Token,SAM,0.831706074,108056.3308,3351647.239,360548.7415,0,43.121,1772,1,433505,5500000
CryptEx,CRX,4.230137138,346.41707,10208.67884,359561.6568,0,32.7269,1773,5,85000,100000
Arqma,ARQ,0.022404973,2098.493686,62233.05979,358942.1025,0,206.2866,1774,3,16020644.27,22065187.95
MicroPets,PETS,7.17E-08,12913.92961,357650.301,358820.3766,0,39.8519,1775,16,5.00712E+12,1E+13
OST,OST,0.000448097,16558.06158,502873.3072,357819.984,0,4.9527,1777,4,798532509,800000000
RealTract,RET,3.38E-05,0,0,358004.3859,0,40.6119,1776,2,10600000000,24600000000
MotaCoin,MOTA,0.006401421,2965.0596,93779.99437,357063.0126,0,285.046,1778,1,55778712.3,70584267.09
Alliance Fan Token,ALL,0.280558385,35905.57967,986212.1289,356715.958,0,29.1178,1779,1,1271450,5000000
Nitro Network,NCash,4.86E-05,58312.20528,2204282.895,355913.2217,0,-3.7687,1780,13,7325209699,14350197884
BitBall,BTB,0.000585961,61638.83659,1781525.562,355498.2231,0,-0.0875,1781,12,606692575.3,999999999
U Network,UUU,3.54E-05,197893.4033,6514133.554,353387.9489,0,76.7556,1783,7,9994600000,10000000000
Swace,SWACE,0.000689384,227.3877686,6757.743217,353855.7742,0,-29.6713,1782,6,513292589,2700000000
Pakcoin,PAK,0.005132045,3975.036547,123344.6626,352031.339,0,27.9281,1784,4,68594750,68594750
Shadows,DOWS,0.013124224,17047.0204,491601.1835,347791.9252,0,14.0805,1785,10,26500000,39500000
ownix,ONX,0.10502343,0,0,346577.3195,0,0.0531,1786,4,3300000,1000000000
Digital Reserve Currency,DRC,0.000346342,116.1199653,3931.828076,346341.6582,0,52.7118,1787,10,1000000000,1000000000
DPRating,RATING,0.000161606,16422.76514,486791.2401,345905.4018,0,4.8894,1788,4,2140429993,9362961677
Bezant,BZNT,0.000392578,0,0,344840.103,0,31.8052,1789,2,878398685,999999820
eosDAC,EOSDAC,0.000520314,16222.21611,528145.5794,343800.1975,0,55.7333,1790,7,660755176.8,1200000000
Verso,VSO,0.004320897,21934.39427,606813.7477,342557.1833,0,14.2814,1791,8,79279192,100000000
Vidulum,VDL,0.020017756,819.8710586,25655.87169,341727.7351,0,10.7424,1793,5,17071231,17086081
Decentralized Vulnerability Platform,DVP,0.000653995,68051.17308,2647249.436,341650.9332,0,7.6475,1794,4,522405821,5000000000
2crazyNFT,2CRZ,0.002226978,57525.9046,1591675.167,341775.5661,0,52.8793,1792,7,153470569.3,497620000
PHI Token,PHI,0.05853292,0.58564824,16.58647891,341144.7392,0,3.7431,1795,1,5828254.205,13578190.27
Refinable,FINE,0.008298958,29506.05923,952182.6331,340753.8104,0,71.0794,1796,16,41059833,500000000
Public Index Network,PIN,0.002215876,37.61810554,1125.005172,337591.0118,0,33.2852,1797,4,152351008.3,152351008.3
Waletoken,WTN,1.69E-05,0,0,336367.3045,0,40.6119,1798,2,19918713667,19918713667
AidCoin,AID,0.007854453,0,0,334184.352,0,-24.1154,1799,2,42547118.14,42547118.7
CoinFi,COFI,0.001558588,14130.46911,387161.3388,334165.934,0,-6.4011,1800,4,214403033.8,300000000
WePower,WPR,0.000483936,56.31984974,1670.25164,333339.5393,0,0.138,1801,1,688808615.5,745248183.1
Mettalex,MTLX,0.296081335,29263.69346,884111.5015,332500.2615,0,245.1209,1802,15,1123003.116,40000000
DinoX,DNXC,0.009759598,17185.25811,807525.7649,331934.4515,0,-8.143,1803,12,34011080,160000000
Cheems,CHEEMS,0.000129851,1541.592346,42943.87901,331227.2858,0,56.1325,1804,5,2550834901,2775346214
TigerCash,TCH,0.005896315,1357250.517,38524966.7,330193.0748,0,-5.0984,1805,20,55999900,1000000000
ASPO World,ASPO,0.004100856,2554.695289,79329.82614,327809.5568,0,82.7096,1806,13,79936866,500000000
NANJCOIN,NANJ,1.69E-05,0,0,326964.2161,0,40.6119,1807,3,19361889557,30000000000
SINOVATE,SIN,0.000492417,519.8434087,16642.2838,326825.5478,0,-1.2703,1808,11,663717042.4,663717042.4
Apollon Limassol,APL,0.985514731,129756.6164,4138818.393,324539.8562,0,25.8238,1809,1,329310,1000000
Dragon Kart,KART,0.008851591,20448.42627,563287.3865,322094.3626,0,-9.4427,1810,9,36388301.72,42252777.78
X-CASH,XCASH,5.12E-06,508.3841601,15967.21739,321621.2698,0,-32.524,1811,24,62820378619,62820378619
Professional Fighters League Fan Token,PFL,0.243530374,31846.15465,1018596.577,320601.8931,0,44.2906,1812,1,1316476,5000000
DeHive,DHV,0.079592966,16765.64782,493757.3897,319913.977,0,38.0128,1813,15,4019375,5614361
Standard Protocol,STND,0.023804533,274121.0482,8436923.05,319631.1781,0,8.945,1814,12,13427323.87,100000000
Tidal Finance,TIDAL,0.000368544,294396.7429,8568297.021,318873.5329,0,79.0486,1815,13,865226228.9,19838000001
Pacoca,PACOCA,0.002576397,8451.548002,228228.0303,317173.595,0,21.2201,1816,12,123107413.7,142811394
SHOPX,SHOPX,0.010990988,186040.2185,8192645.557,315394.6407,0,21.5575,1819,15,28695751,500000000
Dexlab,DXL,0.006005479,2581.405903,76203.7644,315448.497,0,103.661,1818,6,52526785.59,1000000000
disBalancer,DDOS,0.046710421,12242.77552,359120.7208,315471.7454,0,46.4728,1817,5,6753776.56,7460000
Millonarios FC Fan Token,MFC,0.465698435,59986.72966,1867620.922,314584.4157,0,45.8206,1821,1,675511,10000000
Governor DAO,GDAO,0.108209013,16831.35892,461064.9463,314833.3784,0,3.8098,1820,4,2909493.118,2921625.352
TripCandy,CANDY,0.001497334,252.3668074,7477.3345,313516.0277,0,28.0596,1822,3,209382821.6,1000000000
AstroSwap,ASTRO,0.000725603,18875.72296,509715.1665,310893.8524,0,8.3686,1824,26,428462821,242000000
Nerve Finance,NRV,0.00672405,63738.89744,1840260.074,310905.0815,0,47.0803,1823,18,46237771,0
SnowSwap,SNOW,0.62447243,32705.37201,873207.6016,309481.5356,0,80.0198,1825,8,495588.7891,500000
RING X PLATFORM,RINGX,0.000984834,0,0,308442.8968,0,48.0946,1826,2,313192785.3,357117790.3
BeamSwap,GLINT,0.001129025,0,0,306067.3427,0,28.7013,1828,9,271089931,1939283986
Cook Finance,COOK,0.00035037,62419.11438,2173070.05,306094.3562,0,35.49,1827,14,873630734.7,10000000000
Natus Vincere Fan Token,NAVI,0.262044379,33684.27282,1041976.863,303639.994,0,46.4883,1829,1,1158735,5000000
YetiCoin,YETIC,3.44E-10,119.444353,3687.457132,303312.8808,0,33.225,1830,5,8.82267E+14,1E+15
VisionGame,VISION,0.005649219,533775.8465,20679603.48,301756.2159,0,153.5037,1831,4,53415568,1000000000
Team Heretics Fan Token,TH,0.696411421,100081.6902,3263426.922,300945.1424,0,41.494,1832,1,432137,5000000
Vanilla Network,VNLA,0.530228097,135.874478,4435.665206,300726.8152,0,35.933,1834,3,567164.9936,799908.8395
Autonio,NIOX,0.003184808,20975.04684,647021.5004,300773.8948,0,31.9975,1833,5,94440196.22,315000000
Blockmason Credit Protocol,BCPT,0.002574283,0,0,299025.252,0,31.8052,1835,4,116158667,116158667
Yield Optimization Platform & Protocol,YOP,0.015038478,423.9917007,11996.82821,295039.8484,0,19.8255,1836,9,19618996,86888888
Coreto,COR,0.001291993,3179.796173,101591.1675,294940.6968,0,123.6066,1837,7,228283474.3,500000000
Coinsbit Token,CNB,0.000220939,0,0,294129.287,0,130.4562,1838,13,1331266628,1350000000
Dinamo Zagreb Fan Token,DZG,0.404459803,42858.32341,1399783.918,293793.1296,0,87.0091,1839,1,726384,5000000
Manna,MANNA,0.000443244,0,0,293190.3348,0,26.9578,1840,7,661465439.2,2361443615
YFDAI.FINANCE,YF-DAI,73.48169324,445671.5445,57744598.4,292898.0293,0,-4.1636,1841,10,3986,21000
Soldex,SOLX,0.000695655,100246.6983,2830515.602,292458.4159,0,-30.5519,1842,4,420407146,500000000
MakiSwap,MAKI,0.004222905,915723.6172,26616394.65,291261.0155,0,54.6428,1843,25,68971718,96576637
MyWish,WISH,0.030469854,0,0,290885.0519,0,31.8052,1844,2,9546650.624,9546650.624
Blockpass,PASS,0.001735814,6.5847704,214.866334,290269.267,0,9.2738,1845,7,167223761.6,1000000000
XMax,XMX,1.00E-05,38830.6266,1052042.38,288050.6644,0,13.1537,1846,10,28792881608,30000000000
Tycoon,TYC,0.003647814,3357.119896,93081.80753,287504.488,0,-1.2947,1847,6,78815560,134815560
YEE,YEE,0.000210379,286312.7798,8967657.456,287213.5099,0,175.102,1848,8,1365218125,10000000000
WABnetwork,WAB,1.69E-05,0,0,286986.8153,0,40.6119,1849,3,16994541755,17869541765
Infinity Games,ING,0.001050828,762600.144,26047660.19,286825.5676,0,-66.4362,1850,6,272952051,5000000000
Everex,EVX,0.012556633,4568.106768,127793.8369,285035.5743,0,51.0565,1851,12,22700000,25000000
SynchroBitcoin,SNB,0.003573102,6.20571221,195.963677,284187.5306,0,23.5224,1852,4,79535231.34,1000000000
Fractal,FCL,0.017074031,36520.45421,1078298.227,283348.1686,0,90.3662,1853,14,16595270.91,465000000
Kangal,KANGAL,2.83E-06,866.2661493,26233.4957,283009.8965,0,-2.7158,1854,7,1E+11,1E+11
VIG,VIG,0.000282757,14.75707299,432.9853067,282757.032,0,111.4599,1855,1,1000000000,1000000000
Qrkita Token,QRT,2.81E-06,270587.6534,8531866.248,281383.7261,0,781.5767,1856,7,99966774656,1E+11
APY.Finance,APY,0.004223291,126.227652,4085.351143,280721.9447,0,12.917,1857,17,66469950.24,100000000
Legia Warsaw Fan Token,LEG,0.412059956,52209.82291,1628538.702,278905.2533,0,43.2598,1859,2,676856,5000000
RED,RED,0.002148597,15790.80609,436974.593,279317.6369,0,51.5491,1858,4,130000009.3,200000000
TurtleCoin,TRTL,3.22E-06,97359.70888,3011793.473,277531.3342,0,19.9268,1860,11,86256637424,78836941580
Club Atletico Independiente,CAI,0.330403783,43245.36426,1288255.479,276933.217,0,24.78,1861,1,838166,5000000
Swarm City,SWT,0.032432894,0,0,276849.5473,0,22.8526,1862,4,8536072.884,8536072.884
SpaceFalcon,FCON,0.000103946,252756.2391,10777069.2,276828.2973,0,113.1244,1863,7,2663187786,20000000000
Golff,GOF,0.027647854,37332.7151,1800721.266,276460.2318,0,-31.3434,1864,25,9999337.73,9999337.73
OIN Finance,OIN,0.008368449,51643.81848,1385557.527,275746.754,0,-25.5787,1866,14,32950759.26,100000000
Wonderman Nation,WNDR,0.019419241,58018.34024,1754273.927,276054.1296,0,-2.1448,1865,3,14215495,500000000
BLink,BLINK,0.001494678,233.1559497,6949.463778,275539.5067,0,12.2208,1867,5,184347125,999999999
Iridium,IRD,0.011325591,392.9292521,12953.43193,273309.8023,0,48.0946,1869,2,24132057.06,24132057.06
GeoDB,GEO,0.00330725,89.91010399,2441.02042,273315.8696,0,-3.407,1868,12,82641418.86,313171077.1
Stake DAO,SDT,0.380910495,344189.0995,9618833.717,269914.7001,0,27.5993,1871,21,708604,41600000
Hydro,HYDRO,0.002429682,2788.141224,76101.98362,269964.6716,0,36.045,1870,9,111111110.9,111111110.9
ShopNEXT,NEXT,0.029413469,46098.08808,1505565.675,267410.9958,0,0,1872,3,9091447,100000000
Substratum,SUB,0.000696113,10.98362545,372.9395879,266625.7092,0,-5.89,1873,4,383021000,472000000
Delphy,DPY,0.004284782,25942.01822,803899.3993,266512.8,0,36.0518,1874,2,62199847.56,100000000
Ninneko,NINO,0.004077276,16206.12717,506940.0523,264632.6559,0,5.2582,1875,3,64904273,200000000
EarthFund,1EARTH,0.003618291,295881.2185,14739784.24,263246.3598,0,-30.7046,1876,5,72754338,1000000000
Hunter Token,HNTR,0.004029212,21266.3684,652832.4593,262402.4181,0,-17.4604,1877,3,65125000,1000000000
Blue Protocol,BLUE,0.007154962,0,0,262195.5847,0,102.3455,1879,4,36645278.39,42000000
HashBX,HBX,0.000416751,118.8399494,3668.578944,262253.2874,0,20.4315,1878,33,629280962.8,1000000000
CyberMusic,CYMT,1.69E-05,0,0,261748.4897,0,40.6119,1880,5,15500000000,15500000000
Safex Cash,SFX,0.001225841,274.9026958,8586.395597,259484.2674,0,-7.2082,1881,4,211678612.8,216678612.8
UnlimitedIP,UIP,0.000168037,12619.02727,362944.0441,258775.2995,0,-18.4033,1882,9,1539985525,2839985525
Equal,EQL,0.000637135,0,0,258576.4846,0,31.8052,1883,2,405842550,675259060
Linked Finance World,LFW,0.007959377,19665.29532,421468.1858,254805.1785,0,5.4609,1884,12,32013207.7,200000000
CoverCompared,CVR,0.002520562,93889.35577,2611865.676,254547.4181,0,37.7781,1885,7,100988345.2,137865569
Veil,VEIL,0.002939965,1670.651864,48339.48635,253065.9286,0,11.4272,1886,4,86077879.8,94918808.8
OneRare,ORARE,0.028192194,118057.1793,3321872.298,252588.7217,0,9.8214,1887,7,8959526.894,100000000
OracleChain,OCT,0.008392839,0,0,251785.1601,0,40.8954,1888,1,30000000,200000000
PRivaCY Coin,PRCY,0.017360422,48945.28046,1567312.41,251171.5599,0,7.9691,1889,11,14468056,61443292
Deutsche eMark,DEM,0.004677961,0,0,250989.1932,0,462.7595,1890,3,53653540.89,210000000
The Corgi of PolkaBridge,CORGIB,8.66E-09,4330.293308,127125.8733,250841.8499,0,153.9165,1891,6,2.89701E+13,5.5E+13
Atlas Protocol,ATP,9.60E-05,18405.54393,507669.2606,247337.0091,0,-6.4603,1892,4,2576066703,4000001000
NFTify,N1,0.012117154,175.2236417,4772.376546,246729.8558,0,20.5494,1893,8,20362030.82,200000000
Zennies,ZENI,0.000246208,0,0,246408.6217,0,48.0946,1894,1,1000812836,1000812836
TouchCon,TOC,0.001553604,4137.084158,125604.7805,246091.0193,0,108.65,1895,4,158400100,990000000
Crown,CRW,0.007769501,38.15760201,1178.872185,243387.8368,0,-19.2644,1896,7,31326057.46,31370196.84
Galaxy Blitz,MIT,0.067715107,0,0,242918.0595,0,-6.6355,1897,12,3587354,99999268
Maxcoin,MAX,0.003939336,13.30091516,369.9800542,242055.6664,0,136.9514,1898,2,61445805,61445805
AudioCoin,ADC,0.000246208,0,0,241464.8623,0,48.0946,1899,2,980733270.8,980733270.8
S4FE,S4F,0.00026906,3.01473299,93.66113927,240892.3367,0,-19.0801,1900,11,895310762,1000000000
Xensor,XSR,5.18E-05,11189.67187,312567.7674,240473.5726,0,0.0531,1901,3,4641311279,4800000000
Cappasity,CAPP,0.00036081,187316.8224,5621281.006,239314.6768,0,-18.2746,1902,2,663271024.7,2920066692
APYSwap,APYS,0.01303296,17552.50433,519127.733,237083.0361,0,29.5955,1903,26,18191036,100000000
Lanceria,LANC,0.000880014,98.89293907,3020.053097,236858.0102,0,18.0413,1904,11,269152549.2,350000000
Moola,AXPR,0.000846387,156.2137615,4839.861446,236712.3185,0,127.5624,1905,8,279674001.4,344674001.4
Battle Hero,BATH,0.004650163,762.3203836,24492.13984,231453.9845,0,-0.4236,1906,14,49773308.87,957016347
Etherparty,FUEL,0.000230172,20862.19039,653209.9312,230172.3274,0,43.5264,1907,2,1000000000,1000000000
Golos Blockchain,GLS,0.000699186,1.56468414,42.79128371,229823.8447,0,19.47,1908,3,328702018.9,330777998.6
DogeCash,DOGEC,0.011079382,151.418087,4528.390659,229638.9465,0,-8.7088,1909,2,20726692.26,19015632.16
DOS Network,DOS,0.001674173,12451.85949,364167.0146,227585.5004,0,40.5884,1910,9,135939017.4,949292114.3
MicroBitcoin,MBC,4.73E-06,9.97057565,285.1139006,226893.5891,0,264.0395,1911,2,47958344687,48015783231
Tachyon Protocol,IPX,0.000846169,1693.591707,52611.4738,225807.3453,0,-6.4045,1912,9,266858530.8,1000000000
Dynamix,DYNA,4.30E-10,42.96499055,1291.521216,225489.2435,0,21.0696,1913,4,5.24862E+14,1E+15
Coldstack,CLS,0.148769784,275468.5891,8862123.824,223894.8064,0,147.1412,1917,10,1504975,50000000
QUINADS,QUIN,1.69E-05,0,0,224512.6412,0,40.6119,1914,2,13294999111,20000000000
Myriad,XMY,0.000122027,16.74185869,510.8137988,224479.2366,0,18.5096,1915,7,1839583250,1840588250
Ink,INK,0.000483601,13517.44442,439766.2783,224347.3764,0,17.2886,1916,7,463910526.9,1000000000
Tokes,TKS,0.001111248,8.33072438,240.7904711,222249.1093,0,-28.7442,1918,1,199999574,999999999.9
GoldMint,MNTP,0.115886044,0,0,221921.4082,0,44.4896,1919,3,1914996.84,10000000
CREDIT,CREDIT,9.12E-05,71105.81418,2187194.584,221090.6101,0,3484.9774,1920,8,2425433850,25000000000
NIX,NIX,0.004489741,0,0,221067.9404,0,41.1988,1921,2,49238466.33,49238466.33
Ideaology,IDEA,0.013568657,246907.8736,7389810.399,220982.4174,0,32.8802,1922,6,16286240.9,500000000
SakeToken,SAKE,0.002163379,55958.96034,1664707.155,220366.9074,0,17.7278,1925,14,101862352.1,136278605.5
Spume Protocol,SPUME,0.019613044,74205.54157,2083036.42,220493.049,0,-6.1163,1923,5,11242163.81,100000000
TradeStars,TSX,0.016268265,19164.81883,525162.3404,220412.9538,0,136.0792,1924,5,13548645.69,69992847
SugarBounce,TIP,0.015532236,92720.78663,2915839.751,218067.0221,0,33.0225,1926,5,14039641.02,38547774
Basis Cash,BAC,0.003995263,13871.2026,448459.5508,218042.0581,0,5.9406,1927,9,54575145.21,54575249.83
Hashgard,GARD,2.17E-05,14251.2937,459182.0383,217017.0904,0,15.9795,1928,7,10000000000,10000000000
SolChicks Token,CHICKS,0.00033794,608.8162959,16352.1934,215979.9191,0,-31.5453,1929,13,639106687.7,9999997585
UBXS Token,UBXS,0.024082332,19350.41587,613048.27,214914.1998,0,9.1226,1930,5,8924144.149,98000000
Elamachain,ELAMA,0.000240054,0,0,214872.5449,0,1100.6377,1931,7,895102533.2,1000000000
Gamerse,LFG,0.001128667,24871.94296,698249.3437,214234.4626,0,8.3192,1932,13,189811891.5,999625453
Polinate,POLI,0.001370306,18077.75206,569366.3712,211430.4011,0,62.9879,1934,5,154294330,1000000000
Bitteam token,BTT,0.000459058,84026.92505,2492538.24,211625.8516,0,-43.0795,1933,3,460999998,460999998
Friendz,FDZ,0.000405341,49009.62425,1544480.123,209217.668,0,61.323,1935,8,516152387.8,1129842156
CropperFinance,CRP,0.00742622,81781.02203,2346251.142,208906.9896,0,64.1867,1936,7,28131000,500000000
Playcent,PCNT,0.005677429,16424.67813,501855.8504,208050.7351,0,11.5029,1937,6,36645236.22,60000000
Cyclub,CYCLUB,0.000158254,10873.42049,289968.1698,207992.6525,0,-20.6291,1938,3,1314294423,3300000000
Sator,SAO,0.003725107,25234.42372,772035.9257,204557.9076,0,32.4035,1939,8,54913292,500000000
AnRKey X,$ANRX,0.001035682,397.5750104,11866.38771,204445.2195,0,-4.3132,1940,11,197401604,200000000
Mobility Coin,MOBIC,0.016249761,9398.038992,260495.2805,202632.4307,0,-55.3036,1942,5,12469871.72,12469871.72
Zenswap Network Token,ZNT,1.69E-05,0,0,202667.0705,0,40.6119,1941,3,12001366640,20000000000
Wolf Safe Poor People,WSPP,1.49E-11,5980.13694,175266.9743,201096.1534,0,0.7721,1943,13,1.35E+16,1.35E+16
DeFiner,FIN,0.001351401,7901.666412,217721.1187,200500.128,0,-35.4217,1944,8,148364590,168000000
Lead Wallet,LEAD,0.000396497,8.43383909,258.9285948,200354.1701,0,58.5412,1945,6,505310846,964310846
BUZZCoin,BUZZ,1.00E-05,0,0,200339.5604,0,38.3412,1946,4,20000000000,20000000000
PlayGame,PXG,0.000200045,4495.117903,147314.2451,200019.6233,0,18.4061,1947,1,999875000,1000000000
Decentralized Asset Trading Platform,DATP,1.69E-05,0,0,199614.8059,0,40.6119,1948,5,11820620222,15000000000
Lethean,LTHN,0.000249653,25.59830359,837.2249072,198670.7792,0,117.617,1949,2,795787039,865787039
MediShares,MDS,0.000151613,15553.43249,469292.8704,198628.6162,0,5.542,1950,6,1310099624,2000000000
